Messung,Latenz_tz, Latenz_ns
630, 82, 27.33
631, 86, 28.67
632, 86, 28.67
633, 84, 28.00
634, 82, 27.33
635, 82, 27.33
636, 82, 27.33
637, 86, 28.67
638, 81, 27.00
639, 81, 27.00
640, 79, 26.33
641, 89, 29.67
642, 87, 29.00
643, 87, 29.00
644, 85, 28.33
645, 87, 29.00
646, 83, 27.67
647, 81, 27.00
648, 83, 27.67
649, 81, 27.00
650, 87, 29.00
651, 87, 29.00
652, 87, 29.00
653, 85, 28.33
654, 83, 27.67
655, 84, 28.00
656, 82, 27.33
657, 86, 28.67
658, 86, 28.67
659, 84, 28.00
660, 82, 27.33
661, 82, 27.33
662, 82, 27.33
663, 85, 28.33
664, 85, 28.33
665, 81, 27.00
666, 81, 27.00
667, 81, 27.00
668, 87, 29.00
669, 85, 28.33
670, 83, 27.67
671, 83, 27.67
672, 81, 27.00
673, 83, 27.67
674, 85, 28.33
675, 83, 27.67
676, 83, 27.67
677, 85, 28.33
678, 83, 27.67
679, 84, 28.00
680, 86, 28.67
681, 82, 27.33
682, 86, 28.67
683, 84, 28.00
684, 82, 27.33
685, 84, 28.00
686, 82, 27.33
687, 86, 28.67
688, 81, 27.00
689, 81, 27.00
690, 79, 26.33
691, 81, 27.00
692, 87, 29.00
693, 87, 29.00
694, 81, 27.00
695, 83, 27.67
696, 83, 27.67
697, 85, 28.33
698, 87, 29.00
699, 81, 27.00
700, 81, 27.00
701, 83, 27.67
702, 85, 28.33
703, 83, 27.67
704, 84, 28.00
705, 82, 27.33
706, 86, 28.67
707, 86, 28.67
708, 84, 28.00
709, 82, 27.33
710, 82, 27.33
711, 82, 27.33
712, 86, 28.67
713, 81, 27.00
714, 85, 28.33
715, 87, 29.00
716, 83, 27.67
717, 83, 27.67
718, 81, 27.00
719, 87, 29.00
720, 85, 28.33
721, 83, 27.67
722, 83, 27.67
723, 81, 27.00
724, 87, 29.00
725, 87, 29.00
726, 85, 28.33
727, 83, 27.67
728, 84, 28.00
729, 82, 27.33
730, 86, 28.67
731, 86, 28.67
732, 84, 28.00
733, 82, 27.33
734, 80, 26.67
735, 86, 28.67
736, 81, 27.00
737, 81, 27.00
738, 79, 26.33
739, 81, 27.00
740, 81, 27.00
741, 83, 27.67
742, 81, 27.00
743, 87, 29.00
744, 85, 28.33
745, 83, 27.67
746, 83, 27.67
747, 81, 27.00
748, 87, 29.00
749, 83, 27.67
750, 85, 28.33
751, 83, 27.67
752, 84, 28.00
753, 82, 27.33
754, 86, 28.67
755, 86, 28.67
756, 80, 26.67
757, 84, 28.00
758, 84, 28.00
759, 86, 28.67
760, 85, 28.33
761, 85, 28.33
762, 85, 28.33
763, 87, 29.00
764, 89, 29.67
765, 87, 29.00
766, 83, 27.67
767, 83, 27.67
768, 85, 28.33
769, 83, 27.67
770, 83, 27.67
771, 81, 27.00
772, 87, 29.00
773, 83, 27.67
774, 85, 28.33
775, 83, 27.67
776, 82, 27.33
777, 86, 28.67
778, 86, 28.67
779, 86, 28.67
780, 86, 28.67
781, 80, 26.67
782, 84, 28.00
783, 86, 28.67
784, 81, 27.00
785, 81, 27.00
786, 87, 29.00
787, 89, 29.67
788, 87, 29.00
789, 83, 27.67
790, 83, 27.67
791, 83, 27.67
792, 85, 28.33
793, 85, 28.33
794, 81, 27.00
795, 81, 27.00
796, 81, 27.00
797, 83, 27.67
798, 85, 28.33
799, 83, 27.67
800, 82, 27.33
801, 86, 28.67
802, 86, 28.67
803, 78, 26.00
804, 82, 27.33
805, 84, 28.00
806, 84, 28.00
807, 83, 27.67
808, 85, 28.33
809, 85, 28.33
810, 87, 29.00
811, 89, 29.67
812, 87, 29.00
813, 87, 29.00
814, 81, 27.00
815, 83, 27.67
816, 85, 28.33
817, 83, 27.67
818, 81, 27.00
819, 87, 29.00
820, 87, 29.00
821, 85, 28.33
822, 83, 27.67
823, 84, 28.00
824, 82, 27.33
825, 86, 28.67
826, 86, 28.67
827, 80, 26.67
828, 84, 28.00
829, 82, 27.33
830, 85, 28.33
831, 81, 27.00
832, 79, 26.33
833, 81, 27.00
834, 87, 29.00
835, 83, 27.67
836, 83, 27.67
837, 83, 27.67
838, 85, 28.33
839, 83, 27.67
840, 81, 27.00
841, 83, 27.67
842, 87, 29.00
843, 83, 27.67
844, 81, 27.00
845, 86, 28.67
846, 86, 28.67
847, 82, 27.33
848, 84, 28.00
849, 82, 27.33
850, 84, 28.00
851, 82, 27.33
852, 85, 28.33
853, 85, 28.33
854, 81, 27.00
855, 81, 27.00
856, 87, 29.00
857, 87, 29.00
